file,blank,ps1,ps2,multi,ice,badice,mos1,mos2,Y
fake_00063.pgm,0,1,1,1,0,0,0.551489,0.779391,ps1+ps2+multi
fake_00064.pgm,0,1,0,1,0,0,0.507015,0.8188810000000001,ps1+multi
fake_00065.pgm,0,1,1,1,1,0,0.568341,0.8864709999999999,ps1+ps2+multi+ice
fake_00066.pgm,0,1,0,0,0,0,0.635996,0.0,ps1
fake_00067.pgm,0,0,1,1,1,0,0.6325069999999999,0.857361,ps2+multi+ice
fake_00068.pgm,0,1,0,0,0,0,0.791683,0.0,ps1
fake_00069.pgm,0,0,1,0,1,0,0.515455,0.0,ps2+ice
fake_00070.pgm,0,1,0,0,0,0,0.810631,0.0,ps1
fake_00071.pgm,0,1,0,0,0,0,0.623712,0.0,ps1
fake_00072.pgm,0,1,0,0,0,0,0.548708,0.0,ps1
fake_00073.pgm,0,1,0,0,0,0,0.76755,0.0,ps1
fake_00074.pgm,0,1,1,1,0,0,0.883357,0.727511,ps1+ps2+multi
fake_00075.pgm,0,0,1,0,0,0,0.7204109999999999,0.0,ps2
fake_00076.pgm,0,1,0,0,0,0,0.53903,0.0,ps1
fake_00077.pgm,0,0,1,0,0,0,0.8195540000000001,0.0,ps2
fake_00078.pgm,0,1,0,0,0,0,0.642702,0.0,ps1
fake_00079.pgm,0,0,1,0,0,0,0.587186,0.0,ps2
fake_00080.pgm,0,1,1,1,0,0,0.6060770000000001,0.7178,ps1+ps2+multi
fake_00081.pgm,0,0,1,0,1,1,0.7178,0.0,ps2+ice+badice
fake_00082.pgm,0,0,1,0,0,0,0.5391060000000001,0.0,ps2
fake_00083.pgm,0,1,1,1,0,0,0.9015350000000001,0.7752319999999999,ps1+ps2+multi
fake_00084.pgm,0,1,0,0,0,0,0.523282,0.0,ps1
fake_00085.pgm,0,1,0,0,0,0,0.578857,0.0,ps1
fake_00086.pgm,0,0,1,0,1,1,0.9110799999999999,0.0,ps2+ice+badice
fake_00087.pgm,0,0,1,1,0,0,0.690916,0.622792,ps2+multi
fake_00088.pgm,0,1,1,1,0,0,0.919378,0.8492940000000001,ps1+ps2+multi
fake_00089.pgm,0,0,1,0,0,0,0.7919470000000001,0.0,ps2
fake_00090.pgm,0,0,1,0,0,0,0.8979459999999999,0.0,ps2
fake_00091.pgm,0,1,0,0,1,0,0.7152569999999999,0.0,ps1+ice
fake_00092.pgm,0,0,1,0,0,0,0.8320299999999999,0.0,ps2
fake_00093.pgm,0,0,1,0,1,1,0.8320299999999999,0.0,ps2+ice+badice
fake_00094.pgm,0,1,0,0,0,0,0.6579729999999999,0.0,ps1
fake_00095.pgm,0,0,1,0,1,1,0.687098,0.0,ps2+ice+badice
fake_00096.pgm,0,0,1,0,0,0,0.687098,0.0,ps2
fake_00097.pgm,0,0,1,0,0,0,0.646788,0.0,ps2
fake_00098.pgm,0,0,1,0,0,0,0.587867,0.0,ps2
fake_00099.pgm,0,0,1,0,0,0,0.9441780000000001,0.0,ps2
fake_00100.pgm,0,0,1,0,1,1,0.69739,0.0,ps2+ice+badice
fake_00101.pgm,0,1,0,1,0,0,0.714431,0.515169,ps1+multi
fake_00102.pgm,0,1,0,0,1,1,0.709831,0.0,ps1+ice+badice
fake_00103.pgm,0,0,1,0,0,0,0.766005,0.0,ps2
fake_00104.pgm,0,0,1,0,0,0,0.558134,0.0,ps2
fake_00105.pgm,0,0,1,0,0,0,0.770202,0.0,ps2
fake_00106.pgm,0,1,1,1,0,0,0.850076,0.582411,ps1+ps2+multi
fake_00107.pgm,0,1,0,0,1,0,0.811239,0.0,ps1+ice
fake_00108.pgm,0,0,1,0,0,0,0.530423,0.0,ps2
fake_00109.pgm,0,0,1,1,0,0,0.7755380000000001,0.738689,ps2+multi
fake_00110.pgm,0,1,0,0,0,0,0.9249129999999999,0.0,ps1
fake_00111.pgm,0,1,1,1,0,0,0.5836640000000001,0.6958979999999999,ps1+ps2+multi
fake_00112.pgm,0,1,0,0,0,0,0.745488,0.0,ps1
fake_00113.pgm,0,0,1,0,1,1,0.7099409999999999,0.0,ps2+ice+badice
fake_00114.pgm,0,0,1,1,1,0,0.695481,0.756324,ps2+multi+ice
fake_00115.pgm,0,0,1,1,1,1,0.6032689999999999,0.832699,ps2+multi+ice+badice
fake_00116.pgm,0,0,1,1,0,0,0.733313,0.7070390000000001,ps2+multi
fake_00117.pgm,0,1,0,0,0,0,0.572666,0.0,ps1
fake_00118.pgm,0,0,1,0,0,0,0.556276,0.0,ps2
fake_00119.pgm,0,1,1,1,1,1,0.946709,0.8611690000000001,ps1+ps2+multi+ice+badice
fake_00120.pgm,0,0,1,0,0,0,0.685549,0.0,ps2
fake_00121.pgm,0,0,1,0,0,0,0.615226,0.0,ps2
fake_00122.pgm,0,1,0,0,0,0,0.590427,0.0,ps1
fake_00123.pgm,0,1,0,0,1,1,0.529138,0.0,ps1+ice+badice
fake_00124.pgm,0,1,1,1,1,0,0.591363,0.875073,ps1+ps2+multi+ice
fake_00125.pgm,0,1,1,1,0,0,0.567422,0.725762,ps1+ps2+multi
fake_00126.pgm,0,0,1,1,0,0,0.947276,0.604635,ps2+multi
fake_00127.pgm,0,0,1,0,0,0,0.604635,0.0,ps2
fake_00128.pgm,0,0,1,0,0,0,0.9339299999999999,0.0,ps2
fake_00129.pgm,0,1,0,1,0,0,0.9440049999999999,0.725351,ps1+multi
fake_00130.pgm,0,0,1,0,0,0,0.5045569999999999,0.0,ps2
fake_00131.pgm,0,0,1,0,0,0,0.8524290000000001,0.0,ps2
fake_00132.pgm,0,0,1,1,0,0,0.888809,0.537229,ps2+multi
fake_00133.pgm,0,1,0,0,1,1,0.7454430000000001,0.0,ps1+ice+badice
fake_00134.pgm,0,0,1,0,1,1,0.7228359999999999,0.0,ps2+ice+badice
fake_00135.pgm,0,1,1,1,0,0,0.8204670000000001,0.5699930000000001,ps1+ps2+multi
fake_00136.pgm,0,1,1,1,0,0,0.629212,0.876035,ps1+ps2+multi
fake_00137.pgm,0,1,0,0,1,1,0.7928149999999999,0.0,ps1+ice+badice
fake_00138.pgm,0,1,1,1,0,0,0.737748,0.91622,ps1+ps2+multi
fake_00139.pgm,0,0,1,0,0,0,0.572415,0.0,ps2
fake_00140.pgm,0,1,0,0,1,0,0.5101180000000001,0.0,ps1+ice
fake_00141.pgm,0,1,0,0,0,0,0.5101180000000001,0.0,ps1
fake_00142.pgm,0,1,0,0,1,0,0.6477649999999999,0.0,ps1+ice
fake_00143.pgm,0,0,1,0,0,0,0.9173959999999999,0.0,ps2
fake_00144.pgm,0,1,0,0,1,1,0.637447,0.0,ps1+ice+badice
fake_00145.pgm,0,1,0,0,0,0,0.508065,0.0,ps1
fake_00146.pgm,0,1,1,1,0,0,0.700867,0.538362,ps1+ps2+multi
fake_00147.pgm,0,1,0,1,0,0,0.544003,0.9379049999999999,ps1+multi
fake_00148.pgm,0,0,1,0,0,0,0.800266,0.0,ps2
fake_00149.pgm,0,0,1,0,0,0,0.547456,0.0,ps2
fake_00150.pgm,0,0,1,0,0,0,0.547456,0.0,ps2
fake_00151.pgm,0,0,1,0,0,0,0.547456,0.0,ps2
fake_00152.pgm,0,1,0,0,0,0,0.806706,0.0,ps1
fake_00153.pgm,0,1,1,1,0,0,0.922515,0.866246,ps1+ps2+multi
fake_00154.pgm,0,1,0,0,0,0,0.8343299999999999,0.0,ps1
fake_00155.pgm,0,0,1,0,0,0,0.57716,0.0,ps2
fake_00156.pgm,0,0,1,0,0,0,0.51791,0.0,ps2
fake_00157.pgm,0,0,1,0,0,0,0.9211469999999999,0.0,ps2
fake_00158.pgm,0,0,1,0,0,0,0.562109,0.0,ps2
fake_00159.pgm,0,1,0,0,0,0,0.547802,0.0,ps1
fake_00160.pgm,0,1,1,1,0,0,0.686344,0.681188,ps1+ps2+multi
fake_00161.pgm,0,0,1,1,0,0,0.632151,0.865563,ps2+multi
fake_00162.pgm,0,1,0,0,0,0,0.657569,0.0,ps1
fake_00163.pgm,0,1,0,0,0,0,0.657569,0.0,ps1
fake_00164.pgm,0,0,1,1,0,0,0.8665790000000001,0.689936,ps2+multi
fake_00165.pgm,0,1,0,0,0,0,0.9199940000000001,0.0,ps1
fake_00166.pgm,0,1,1,1,0,0,0.704727,0.567858,ps1+ps2+multi
fake_00167.pgm,0,1,0,0,0,0,0.887016,0.0,ps1
fake_00168.pgm,0,1,0,0,0,0,0.647285,0.0,ps1
fake_00169.pgm,0,1,0,0,0,0,0.741744,0.0,ps1
fake_00170.pgm,0,0,1,0,1,0,0.786241,0.0,ps2+ice
fake_00171.pgm,0,1,0,0,0,0,0.702683,0.0,ps1
fake_00172.pgm,0,0,1,0,0,0,0.843815,0.0,ps2
fake_00173.pgm,0,0,1,0,0,0,0.843815,0.0,ps2
fake_00174.pgm,0,1,0,0,0,0,0.762905,0.0,ps1
fake_00175.pgm,0,0,1,0,1,0,0.745595,0.0,ps2+ice
fake_00176.pgm,0,0,1,0,0,0,0.547079,0.0,ps2
fake_00177.pgm,0,1,0,0,0,0,0.563418,0.0,ps1
fake_00178.pgm,0,1,0,0,0,0,0.563418,0.0,ps1
fake_00179.pgm,0,1,0,0,0,0,0.643968,0.0,ps1
fake_00180.pgm,0,0,1,0,0,0,0.854991,0.0,ps2
fake_00181.pgm,0,0,1,0,0,0,0.646734,0.0,ps2
fake_00182.pgm,0,1,1,1,0,0,0.792694,0.809902,ps1+ps2+multi
fake_00183.pgm,0,1,0,0,0,0,0.840628,0.0,ps1
fake_00184.pgm,0,1,0,0,0,0,0.671272,0.0,ps1
fake_00185.pgm,0,1,0,1,0,0,0.6378149999999999,0.594521,ps1+multi
fake_00186.pgm,0,1,0,0,0,0,0.594521,0.0,ps1
fake_00187.pgm,0,1,0,0,0,0,0.540266,0.0,ps1
fake_00188.pgm,0,1,0,0,0,0,0.8340270000000001,0.0,ps1
fake_00189.pgm,0,0,1,0,1,1,0.507426,0.0,ps2+ice+badice
fake_00190.pgm,0,0,1,1,1,0,0.946048,0.792691,ps2+multi+ice
fake_00191.pgm,0,1,0,0,0,0,0.8551120000000001,0.0,ps1
fake_00192.pgm,0,0,1,0,0,0,0.6581279999999999,0.0,ps2
fake_00193.pgm,0,1,0,0,0,0,0.556661,0.0,ps1
fake_00194.pgm,0,0,1,0,0,0,0.547411,0.0,ps2
fake_00195.pgm,0,0,1,0,0,0,0.547411,0.0,ps2
fake_00196.pgm,0,0,1,0,1,0,0.547411,0.0,ps2+ice
fake_00197.pgm,0,0,1,0,0,0,0.586904,0.0,ps2
fake_00198.pgm,0,1,0,0,0,0,0.5337890000000001,0.0,ps1
fake_00199.pgm,0,1,1,1,1,0,0.606178,0.8697159999999999,ps1+ps2+multi+ice
fake_00200.pgm,0,1,1,1,1,1,0.8779809999999999,0.726658,ps1+ps2+multi+ice+badice
fake_00201.pgm,0,1,1,1,1,0,0.9450350000000001,0.6298060000000001,ps1+ps2+multi+ice
fake_00202.pgm,0,1,0,0,0,0,0.6298060000000001,0.0,ps1
fake_00203.pgm,0,1,0,0,0,0,0.916167,0.0,ps1
fake_00204.pgm,0,1,1,1,1,0,0.851107,0.912749,ps1+ps2+multi+ice
fake_00205.pgm,0,1,0,1,0,0,0.726161,0.559198,ps1+multi
fake_00206.pgm,0,1,0,0,0,0,0.872116,0.0,ps1
fake_00207.pgm,0,1,0,0,0,0,0.7252569999999999,0.0,ps1
fake_00208.pgm,0,1,0,1,0,0,0.7107439999999999,0.5403399999999999,ps1+multi
fake_00209.pgm,0,1,0,0,0,0,0.5403399999999999,0.0,ps1
fake_00210.pgm,0,0,1,0,1,0,0.569615,0.0,ps2+ice
fake_00211.pgm,0,0,1,0,0,0,0.569615,0.0,ps2
fake_00212.pgm,0,0,1,0,0,0,0.569615,0.0,ps2
fake_00213.pgm,0,1,1,1,0,0,0.8145140000000001,0.5442859999999999,ps1+ps2+multi
fake_00214.pgm,0,1,1,1,0,0,0.796683,0.7038300000000001,ps1+ps2+multi
fake_00215.pgm,0,1,0,1,0,0,0.647506,0.625183,ps1+multi
fake_00216.pgm,0,0,1,1,1,1,0.639486,0.7876449999999999,ps2+multi+ice+badice
fake_00217.pgm,0,1,0,0,0,0,0.878604,0.0,ps1
fake_00218.pgm,0,1,0,0,0,0,0.878604,0.0,ps1
fake_00219.pgm,0,1,0,0,1,1,0.729425,0.0,ps1+ice+badice
fake_00220.pgm,0,1,0,0,0,0,0.625167,0.0,ps1
fake_00221.pgm,0,1,1,1,0,0,0.765181,0.708005,ps1+ps2+multi
fake_00222.pgm,0,0,1,0,0,0,0.67597,0.0,ps2
fake_00223.pgm,0,0,1,0,1,1,0.67597,0.0,ps2+ice+badice
fake_00224.pgm,0,0,1,0,0,0,0.67597,0.0,ps2
fake_00225.pgm,0,1,0,1,0,0,0.639378,0.500232,ps1+multi
fake_00226.pgm,0,1,0,0,0,0,0.500232,0.0,ps1
fake_00227.pgm,0,1,1,1,1,0,0.655354,0.739556,ps1+ps2+multi+ice
fake_00228.pgm,0,1,0,0,0,0,0.739556,0.0,ps1
fake_00229.pgm,0,1,0,0,0,0,0.739556,0.0,ps1
fake_00230.pgm,0,1,1,1,0,0,0.8647389999999999,0.6266609999999999,ps1+ps2+multi
fake_00231.pgm,0,0,1,0,0,0,0.6252300000000001,0.0,ps2
fake_00232.pgm,0,1,0,0,0,0,0.752764,0.0,ps1
fake_00233.pgm,0,1,1,1,0,0,0.592234,0.59969,ps1+ps2+multi
fake_00234.pgm,0,0,1,0,1,0,0.619239,0.0,ps2+ice
fake_00235.pgm,0,1,1,1,1,0,0.730224,0.501599,ps1+ps2+multi+ice
fake_00236.pgm,0,1,1,1,0,0,0.703857,0.545845,ps1+ps2+multi
fake_00237.pgm,0,0,1,0,0,0,0.574968,0.0,ps2
fake_00238.pgm,0,1,0,1,0,0,0.82616,0.541168,ps1+multi
fake_00239.pgm,0,1,1,1,0,0,0.9017809999999999,0.751159,ps1+ps2+multi
fake_00240.pgm,0,0,1,0,1,1,0.751159,0.0,ps2+ice+badice
fake_00241.pgm,0,1,0,0,0,0,0.644925,0.0,ps1
fake_00242.pgm,0,0,1,0,0,0,0.791983,0.0,ps2
fake_00243.pgm,0,0,1,1,0,0,0.592829,0.542941,ps2+multi
fake_00244.pgm,0,1,0,0,1,0,0.812776,0.0,ps1+ice
fake_00245.pgm,0,1,0,0,0,0,0.707375,0.0,ps1
fake_00247.pgm,0,1,1,1,0,0,0.559856,0.8510780000000001,ps1+ps2+multi
fake_00248.pgm,0,1,1,1,0,0,0.5230229999999999,0.652054,ps1+ps2+multi
fake_00249.pgm,0,0,1,0,0,0,0.652054,0.0,ps2
fake_00250.pgm,0,1,0,0,0,0,0.7697970000000001,0.0,ps1
fake_00251.pgm,0,1,0,0,0,0,0.7008260000000001,0.0,ps1
fake_00252.pgm,0,1,0,0,0,0,0.566914,0.0,ps1
fake_00253.pgm,0,1,1,1,0,0,0.7165739999999999,0.55482,ps1+ps2+multi
fake_00254.pgm,0,1,1,1,0,0,0.589593,0.748071,ps1+ps2+multi
fake_00255.pgm,0,0,1,0,1,0,0.772278,0.0,ps2+ice
fake_00256.pgm,0,0,1,0,1,0,0.8656469999999999,0.0,ps2+ice
fake_00258.pgm,0,0,1,0,0,0,0.715493,0.0,ps2
fake_00259.pgm,0,1,0,0,0,0,0.874075,0.0,ps1
fake_00260.pgm,0,1,0,0,1,0,0.608895,0.0,ps1+ice
fake_00261.pgm,0,1,1,1,0,0,0.520526,0.7302109999999999,ps1+ps2+multi
fake_00262.pgm,0,1,0,0,0,0,0.586196,0.0,ps1
fake_00263.pgm,0,0,1,0,0,0,0.902745,0.0,ps2
fake_00264.pgm,0,0,1,1,1,0,0.786133,0.865284,ps2+multi+ice
fake_00265.pgm,0,0,1,0,1,0,0.577923,0.0,ps2+ice
fake_00267.pgm,0,1,0,0,0,0,0.916975,0.0,ps1
fake_00268.pgm,0,1,0,0,1,0,0.916975,0.0,ps1+ice
fake_00269.pgm,0,1,0,0,0,0,0.89728,0.0,ps1
fake_00270.pgm,0,0,1,0,0,0,0.8182510000000001,0.0,ps2
fake_00271.pgm,0,0,1,0,1,0,0.619862,0.0,ps2+ice
fake_00272.pgm,0,1,0,0,0,0,0.9066569999999999,0.0,ps1
fake_00273.pgm,0,1,0,0,0,0,0.7267020000000001,0.0,ps1
fake_00274.pgm,0,1,0,0,0,0,0.895734,0.0,ps1
fake_00275.pgm,0,0,1,0,0,0,0.661479,0.0,ps2
fake_00276.pgm,0,0,1,0,0,0,0.661479,0.0,ps2
fake_00277.pgm,0,1,1,1,0,0,0.8328629999999999,0.575087,ps1+ps2+multi
fake_00278.pgm,0,1,1,1,0,0,0.637149,0.843917,ps1+ps2+multi
fake_00279.pgm,0,1,1,1,1,0,0.790553,0.5763,ps1+ps2+multi+ice
fake_00281.pgm,0,1,0,0,0,0,0.8697389999999999,0.0,ps1
fake_00282.pgm,0,0,1,0,1,0,0.656941,0.0,ps2+ice
fake_00283.pgm,0,1,1,1,0,0,0.605336,0.627045,ps1+ps2+multi
fake_00284.pgm,0,1,0,0,0,0,0.66799,0.0,ps1
fake_00285.pgm,0,0,1,0,0,0,0.796391,0.0,ps2
fake_00286.pgm,0,1,0,0,1,0,0.640404,0.0,ps1+ice
fake_00287.pgm,0,0,1,0,0,0,0.6828770000000001,0.0,ps2
fake_00288.pgm,0,0,1,0,0,0,0.6828770000000001,0.0,ps2
fake_00290.pgm,0,1,0,1,0,0,0.604734,0.877258,ps1+multi
fake_00291.pgm,0,0,1,0,0,0,0.6183770000000001,0.0,ps2
fake_00292.pgm,0,1,0,0,0,0,0.739726,0.0,ps1
fake_00293.pgm,0,0,1,0,0,0,0.56558,0.0,ps2
fake_00294.pgm,0,0,1,0,0,0,0.844677,0.0,ps2
fake_00295.pgm,0,0,1,0,0,0,0.7316050000000001,0.0,ps2
fake_00296.pgm,0,1,0,0,0,0,0.930525,0.0,ps1
fake_00297.pgm,0,1,1,1,1,0,0.537732,0.611955,ps1+ps2+multi+ice
fake_00298.pgm,0,1,0,0,1,0,0.694607,0.0,ps1+ice
fake_00299.pgm,0,1,0,0,0,0,0.909482,0.0,ps1
fake_00300.pgm,0,0,1,0,0,0,0.8310780000000001,0.0,ps2
fake_00301.pgm,0,0,1,1,0,0,0.763976,0.9192889999999999,ps2+multi
fake_00302.pgm,0,0,1,0,0,0,0.568739,0.0,ps2
fake_00303.pgm,0,1,0,0,0,0,0.544319,0.0,ps1
fake_00304.pgm,0,1,0,0,0,0,0.544319,0.0,ps1
fake_00305.pgm,0,1,0,0,0,0,0.775412,0.0,ps1
fake_00306.pgm,0,1,0,0,0,0,0.889759,0.0,ps1
fake_00307.pgm,0,0,1,0,0,0,0.8674790000000001,0.0,ps2
fake_00308.pgm,0,1,0,0,0,0,0.6346149999999999,0.0,ps1
fake_00309.pgm,0,0,1,0,0,0,0.7087829999999999,0.0,ps2
fake_00312.pgm,0,0,1,0,1,0,0.53084,0.0,ps2+ice
fake_00314.pgm,0,1,0,0,0,0,0.554696,0.0,ps1
fake_00315.pgm,0,0,1,0,0,0,0.648041,0.0,ps2
fake_00316.pgm,0,1,0,1,1,0,0.715726,0.732111,ps1+multi+ice
fake_00317.pgm,0,1,0,0,0,0,0.5575680000000001,0.0,ps1
fake_00318.pgm,0,1,1,1,0,0,0.63979,0.6496430000000001,ps1+ps2+multi
fake_00319.pgm,0,1,0,0,1,0,0.7388939999999999,0.0,ps1+ice
fake_00320.pgm,0,0,1,0,1,0,0.707371,0.0,ps2+ice
fake_00321.pgm,0,1,0,0,0,0,0.627554,0.0,ps1
fake_00322.pgm,0,1,0,0,0,0,0.755922,0.0,ps1
fake_00323.pgm,0,1,0,0,0,0,0.757741,0.0,ps1
fake_00324.pgm,0,1,0,0,0,0,0.757741,0.0,ps1
fake_00325.pgm,0,1,1,1,0,0,0.517057,0.833577,ps1+ps2+multi
fake_00326.pgm,0,1,1,1,1,0,0.835377,0.71524,ps1+ps2+multi+ice
fake_00327.pgm,0,1,1,1,0,0,0.503304,0.682149,ps1+ps2+multi
fake_00328.pgm,0,1,1,1,0,0,0.540975,0.8142050000000001,ps1+ps2+multi
fake_00331.pgm,0,1,1,1,1,0,0.773883,0.763121,ps1+ps2+multi+ice
fake_00332.pgm,0,1,1,1,0,0,0.738099,0.936808,ps1+ps2+multi
fake_00333.pgm,0,1,0,0,1,0,0.938665,0.0,ps1+ice
fake_00334.pgm,0,1,0,0,0,0,0.86535,0.0,ps1
fake_00335.pgm,0,0,1,1,1,0,0.550144,0.611124,ps2+multi+ice
fake_00336.pgm,0,1,0,0,0,0,0.834543,0.6721560000000001,ps1
fake_00337.pgm,0,0,1,0,0,0,0.564818,0.0,ps2
fake_00338.pgm,0,1,1,1,0,0,0.699393,0.739256,ps1+ps2+multi
fake_00339.pgm,0,0,1,0,0,0,0.7258,0.0,ps2
fake_00340.pgm,0,1,1,1,0,0,0.818335,0.8690040000000001,ps1+ps2+multi
fake_00341.pgm,0,1,1,1,0,0,0.912538,0.5410699999999999,ps1+ps2+multi
fake_00342.pgm,0,1,0,0,1,0,0.8759870000000001,0.0,ps1+ice
fake_00343.pgm,0,1,1,1,0,0,0.511756,0.9352719999999999,ps1+ps2+multi
fake_00344.pgm,0,1,0,0,0,0,0.729591,0.0,ps1
fake_00346.pgm,0,1,0,0,0,0,0.917309,0.0,ps1
fake_00347.pgm,0,0,1,0,0,0,0.9327479999999999,0.0,ps2
fake_00348.pgm,0,1,0,0,0,0,0.708001,0.0,ps1
fake_00349.pgm,0,1,1,1,0,0,0.8211649999999999,0.845376,ps1+ps2+multi
fake_00350.pgm,0,0,1,1,0,0,0.612414,0.671509,ps2+multi
fake_00351.pgm,0,1,1,1,0,0,0.89435,0.550722,ps1+ps2+multi
fake_00352.pgm,0,0,1,1,0,0,0.622499,0.602124,ps2+multi
fake_00353.pgm,0,1,0,1,0,0,0.593599,0.851274,ps1+multi
fake_00354.pgm,0,0,1,0,0,0,0.85308,0.0,ps2
fake_00355.pgm,0,1,0,0,0,0,0.580836,0.0,ps1
fake_00356.pgm,0,1,0,0,1,0,0.813072,0.0,ps1+ice
fake_00359.pgm,0,1,1,1,0,0,0.787621,0.75317,ps1+ps2+multi
fake_00360.pgm,0,0,1,0,0,0,0.8565809999999999,0.0,ps2
fake_00361.pgm,0,1,0,0,0,0,0.886086,0.0,ps1
fake_00362.pgm,0,1,0,0,0,0,0.886086,0.0,ps1
fake_00363.pgm,0,0,1,0,0,0,0.7425729999999999,0.0,ps2
fake_00364.pgm,0,0,1,0,0,0,0.7425729999999999,0.0,ps2
fake_00365.pgm,0,0,1,1,0,0,0.784772,0.540629,ps2+multi
fake_00366.pgm,0,0,1,0,0,0,0.558455,0.0,ps2
